id,author,quote
1,A.A. Milne,The third-rate mind is only happy when it is thinking with the majority. The second-rate mind is only happy when it is thinking with the minority. The first-rate mind is only happy when it is thinking.
2,A.C. Green,Tough times don't last but tough people do.
3,Abba Eban,History teaches us that men and nations behave wisely once they have exhausted all other alternatives.
4,Abraham Lincoln,"How many legs does a dog have, if you call the tail a leg? Four. Calling a tail a leg doesn't make it a leg."
5,Abraham Lincoln,"Nearly all men can stand adversity, but if you want to test a man's character, give him power."
6,Abraham Lincoln,"When I do good, I feel good; when I do bad, I feel bad, and that is my religion."
7,Abraham Lincoln,Better to remain silent and be thought a fool than to speak out and remove all doubt.
8,Abraham Lincoln,"You can fool some of the people all of the time, and all of the people some of the time, but you can not fool all of the people all of the time."
9,Abraham Maslow,"To the man who only has a hammer, everything he encounters begins to look like a nail."
10,Adlai Stevenson,My definition of a free society is a society where it is safe to be unpopular.
11,Adolph Hitler,It is always more difficult to fight against faith than against knowledge.
12,Albert Einstein,Education is what remains after one has forgotten what one has learned in school.
13,Albert Einstein,The person who reads too much and uses his brain too little will fall into lazy habits of thinking.
14,Albert Einstein,Insanity: doing the same thing over and over again and expecting different results.
15,Albert Einstein,Logic will get you from A to B. Imagination will take you everywhere.
16,Albert Einstein,"Not everything that can be counted counts, and not everything that counts can be counted."
17,Albert Einstein,A clever person solves a problem. A wise person avoids it.
18,Albert Einstein,"Imagination is more important than knowledge. For knowledge is limited to all we now know and understand, while imagination embraces the entire world, and all there ever will be to know and understand."
19,Albert Einstein,"When you look at yourself from a universal standpoint, something inside always reminds or informs you that there are bigger and better things to worry about."
20,Albert Einstein,The only thing that interferes with my learning is my education.
21,Albert Einstein,The difference between genius and stupidity is that genius has its limits.
22,Albert Einstein,Time and space are modes by which we think and not conditions in which we live.
23,Albert Einstein,"When you sit with a nice girl for two hours, you think it's only a minute. But when you sit on a hot stove for a minute, you think it's two hours. That's relativity."
24,Albert Einstein,Weakness of attitude becomes weakness of character.
25,Albert Guinon,"There are people who, instead of listening to what is being said to them, are already listening to what they are going to say themselves."
26,Albert Guinon,"When everyone is against you, it means that you are absolutely wrong-- or absolutely right."
27,Aldous Huxley,"The charm of history and its enigmatic lesson consist in the fact that, from age to age, nothing changes and yet everything is completely different."
28,Alexander Pope,"Blessed is the man who expects nothing, for he shall never be disappointed."
29,Alfred Adler,It is easier to fight for one's principles than to live up to them.
30,Alfred Montapert,Do not confuse motion and progress. A rocking horse keeps moving but does not make any progress.
31,Ambrose Bierce,War is God's way of teaching Americans geography.
32,Ambrose Redmoon,"Courage is not the absence of fear, but rather the judgement that something else is more important than fear."
33,Anais Nin,We don't see things as they are. We see things as we are.
34,Andre Gide,It is better to fail at your own life than to succeed at someone else's.
35,Andre Gide,Believe those who are seeking the truth. Doubt those who find it.
36,Andre Gide,People cannot discover new lands until they have the courage to lose sight of the shore.
37,Andre Gide,"There are admirable potentialities in every human being. Believe in your strength and your youth. Learn to repeat endlessly to yourself, 'It all depends on me.'"
38,Andrew Mathis,It is bad luck to be superstitious.
39,Antoine de Saint-Exupery,"Perfection is achieved, not when there is nothing more to add, but when there is nothing left to take away."
40,Antoine de Saint-Exupery,You become responsible forever for what you've tamed.
41,Aristotle,It is the mark of an educated mind to be able to entertain a thought without accepting it.
42,Aristotle,"We are what we repeatedly do; excellence, then, is not an act but a habit."
43,Aristotle,"What lies in our power to do, lies in our power not to do."
44,Aristotle,"I count him braver who overcomes his desires than him who conquers his enemies, for the hardest victory is over self."
45,Arnold Bennet,"Having once decided to achieve a certain task, achieve it at all costs of tedium and distaste. The gain in self-confidence of having accomplished a tiresome labor is immense."
46,Arnold Palmer,Concentration comes out of a combination of confidence and hunger.
47,Arthur Schopenhauer,Talent hits a target no one else can hit; Genius hits a target no one else can see.
48,Arthur Schopenhauer,"All truth passes through three stages. First, it is ridiculed. Second, it is violently opposed. Third, it is accepted as being self-evident."
49,Arthur Schopenhauer,"Every nation ridicules other nations, and all are right."
50,Aryeh Frimer,I'd rather live with a good question than a bad answer.
51,Augustus William Hare,Seeking is not always the way to find.
52,Ayn Rand,The Argument from Intimidation is a confession of intellectual impotence.
53,B. F. Skinner,The real problem is not whether machines think but whether men do.
54,Baltasar Gracian,A wise man gets more use from his enemies than a fool from his friends.
55,Baltasar Gracian,"Attempt easy tasks as if they were difficult, and difficult as if they were easy; in the one case that confidence may not fall asleep, in the other that it may not be dismayed."
56,Barry Goldwater,A government that is big enough to give you all you want is big enough to take it all away.
57,Barry LePatner,"Good judgment comes from experience, and experience comes from bad judgment."
58,Basho,Do not seek to follow in the footsteps of the men of old; seek what they sought.
59,Benjamin Disraeli,"Never apologize for showing feeling. When you do so, you apologize for truth."
60,Benjamin Disraeli,"To govern men, you must either excel them in their accomplishments, or despise them."
61,Benjamin Franklin,Either write something worth reading or do something worth writing.
62,Benjamin Mays,The tragedy of life doesn't lie in not reaching your goal. The tragedy lies in having no goals to reach.
63,Bertrand Russell,"The whole problem with the world is that fools and fanatics are always so certain of themselves, and wiser people so full of doubts."
64,Bertrand Russell,No one gossips about other people's secret virtues.
65,Bertrand Russell,The greatest challenge to any thinker is stating the problem in a way that will allow a solution.
66,Bertrand Russell,What men really want is not knowledge but certainty.
67,Bertrand Russell,The trouble with the world is that the stupid are cocksure and the intelligent are full of doubt.
68,Bill Cosby,"I don't know the key to success, but the key to failure is trying to please everybody."
69,Bill Raeder,"Thought is useful when it motivates for action, and a hindrance when it substitutes for action."
70,Bill Vaughn,"We learn something every day, and lots of times it's that what we learned the day before was wrong."
71,Blaise Pascal,I have made this letter longer than usual because I lack the time to make it shorter.
72,Bo Bennett,A single question can be more influential than a thousand statements.
73,Bono,"The less you know, the more you believe."
74,Buddha,The foot feels the foot when it feels the ground.
